name,status,market,category_list,country_code,state_code,region,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,angel,round_A,round_B,round_C,days_to_first_check,time_between_rounds
Aetel.inc (Droppy),operating, Curated Web ,|Curated Web|,JPN,Non-US/Unknown,Tokyo,57939.0,1.0,2011-06-23,2011-12-09,2011-12-09,57939.0,0.0,0.0,0.0,0.0,0.0,169.0,0
Affashion,operating, Shopping ,|Shopping|Fashion|E-Commerce|,Unknown,Non-US/Unknown,Unknown,12500.0,1.0,2014-05-01,2014-07-01,2014-07-01,12500.0,0.0,0.0,0.0,0.0,0.0,61.0,0
Affinity China,operating, E-Commerce ,|E-Commerce|Tourism|Travel|Lifestyle|Finance|,CHN,Non-US/Unknown,Shanghai,1300000.0,3.0,2010-01-01,2011-09-07,2013-11-01,1100000.0,0.0,0.0,0.0,0.0,0.0,614.0,786
Affinity Networks,operating, Social Media ,|Social Media|,USA,CA,Los Angeles,200000.0,2.0,2013-08-12,2014-01-06,2014-02-20,200000.0,0.0,0.0,0.0,0.0,0.0,147.0,45
Affinity.is,operating, Advertising ,|Advertising|,USA,WA,Seattle,1500000.0,2.0,2012-07-03,2012-08-01,2014-04-22,1500000.0,0.0,0.0,0.0,0.0,0.0,29.0,629
Afinity Life Sciences,operating, Biotechnology ,|Biotechnology|,CAN,AB,Edmonton,1500000.0,1.0,2012-01-01,2013-09-10,2013-09-10,1500000.0,0.0,0.0,0.0,0.0,0.0,618.0,0
Afluenta,operating, Finance ,|Finance|,ARG,Non-US/Unknown,Buenos Aires,850000.0,3.0,2010-05-28,2011-01-01,2011-09-01,150000.0,0.0,700000.0,0.0,0.0,0.0,218.0,243
AFreeze,operating, Hardware + Software ,|Hardware + Software|,Unknown,Non-US/Unknown,Unknown,2573200.0,1.0,2005-01-01,2013-11-18,2013-11-18,2573200.0,0.0,0.0,0.0,0.0,0.0,3243.0,0
Afrimarket,operating, Health and Wellness ,|Education|Health and Wellness|P2P Money Transfer|,FRA,Non-US/Unknown,Paris,810229.0,2.0,2013-03-04,2013-07-01,2013-07-10,810229.0,0.0,0.0,0.0,0.0,0.0,119.0,9
AfterYes,operating, Curated Web ,|Weddings|Marketplaces|Curated Web|,USA,NY,NY - Other,20000.0,1.0,2013-06-01,2013-07-01,2013-07-01,20000.0,0.0,0.0,0.0,0.0,0.0,30.0,0
Agari,operating, SaaS ,|SaaS|Security|,USA,CA,SF Bay Area,22700000.0,4.0,2009-01-01,2009-01-01,2014-09-23,200000.0,22500000.0,0.0,2500000.0,5000000.0,15000000.0,0.0,2091
Agency for Student Health Research,operating, Education ,|Mobile Health|Education|Big Data|Risk Management|Health Care Information Technology|Software|Analytics|Databases|,USA,CA,San Diego,350000.0,2.0,2010-01-01,2014-05-01,2014-08-01,350000.0,0.0,0.0,0.0,0.0,0.0,1581.0,92
