name,status,market,category_list,country_code,state_code,region,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,angel,round_A,round_B,round_C,days_to_first_check,time_between_rounds
Nexx Studio,operating, Mobile ,|Consumers|Publishing|Apps|Mobile|iPad|App Stores|iPhone|Games|,MYS,Non-US/Unknown,Kuala Lumpur,315000.0,2.0,2008-08-01,2011-06-01,2013-05-17,250000.0,0.0,65000.0,0.0,0.0,0.0,1034.0,716
Nezasa,operating, E-Commerce ,|Tourism|Marketplaces|Travel|Online Travel|E-Commerce|,CHE,Non-US/Unknown,Zurich,1170000.0,2.0,2012-07-31,2013-08-07,2014-06-02,1170000.0,0.0,0.0,0.0,0.0,0.0,372.0,299
Nfoshare,operating, Education ,|Education|,Unknown,Non-US/Unknown,Unknown,100000.0,1.0,2011-06-15,2013-09-01,2013-09-01,100000.0,0.0,0.0,0.0,0.0,0.0,809.0,0
nGAP,operating, Software ,|Software|,USA,CA,CA - Other,60000.0,1.0,2008-01-01,2012-07-24,2012-07-24,60000.0,0.0,0.0,0.0,0.0,0.0,1666.0,0
NGDATA,operating, Analytics ,|Big Data|Analytics|,BEL,Non-US/Unknown,Brussels,5800000.0,2.0,2012-01-01,2012-10-03,2013-09-24,2500000.0,3300000.0,0.0,3300000.0,0.0,0.0,276.0,356
Nibu,operating, Web Hosting ,|Web Hosting|,CHL,Non-US/Unknown,Santiago,91741.0,2.0,2011-01-01,2012-03-07,2012-08-01,91741.0,0.0,0.0,0.0,0.0,0.0,431.0,147
Niche,operating, Social Media ,|Social Media|Social Media Marketing|Software|,USA,NY,New York City,3050000.0,2.0,2013-06-01,2013-11-22,2014-05-15,2500000.0,0.0,550000.0,0.0,0.0,0.0,174.0,174
Nichewith,operating, iOS ,|Social Media|Startups|Apps|iOS|Photo Sharing|Services|Location Based Services|Mobile|,Unknown,Non-US/Unknown,Unknown,50000.0,1.0,2013-01-01,2014-05-01,2014-05-01,50000.0,0.0,0.0,0.0,0.0,0.0,485.0,0
Nifti,operating, Curated Web ,|Curated Web|,USA,MA,Boston,800000.0,1.0,2012-01-01,2013-07-18,2013-07-18,800000.0,0.0,0.0,0.0,0.0,0.0,564.0,0
Night Out,operating, Discounts ,|Discounts|Restaurants|Hospitality|Nightclubs|Events|Nightlife|Games|,USA,CA,Santa Barbara,275000.0,2.0,2010-12-01,2012-05-01,2013-07-11,125000.0,150000.0,0.0,0.0,0.0,0.0,517.0,436
Night Zookeeper,operating, Education ,|Mobile|Education|,GBR,Non-US/Unknown,GBR - Other,308887.0,4.0,2011-01-01,2012-08-01,2014-09-08,308172.0,715.0,0.0,715.0,0.0,0.0,578.0,768
Nightingale,operating, Health and Wellness ,|Health and Wellness|,USA,CA,SF Bay Area,120000.0,1.0,2013-07-23,2014-07-16,2014-07-16,120000.0,0.0,0.0,0.0,0.0,0.0,358.0,0
Nightpro,operating, Event Management ,|Hospitality|Nightlife|Event Management|,USA,FL,Miami,120000.0,2.0,2012-01-01,2012-12-01,2013-01-11,120000.0,0.0,0.0,0.0,0.0,0.0,335.0,41
Nimbit,operating, Music ,|Art|Digital Rights Management|Social Commerce|Music|,USA,MA,Boston,5425636.0,5.0,2004-01-01,2006-05-01,2011-03-11,1000000.0,4425636.0,0.0,1250000.0,0.0,0.0,851.0,1775
Nimble CRM,operating, Sales and Marketing ,|Collaboration|CRM|Sales and Marketing|Software|,USA,CA,Los Angeles,3000000.0,2.0,2009-04-01,2010-01-01,2012-01-04,2000000.0,0.0,1000000.0,0.0,0.0,0.0,275.0,733
Nimble TV,operating, Software ,|Software|,USA,NY,New York City,6150000.0,2.0,2010-01-01,2011-10-27,2012-09-14,1650000.0,4500000.0,0.0,4500000.0,0.0,0.0,664.0,323
Nimble VR,operating, Software ,|Software|,USA,CA,SF Bay Area,2249999.0,2.0,2012-01-01,2012-03-30,2014-04-02,349999.0,1900000.0,0.0,0.0,0.0,0.0,89.0,733
Nimbus Discovery,operating, Biotechnology ,|Biotechnology|,USA,MA,Boston,29000000.0,3.0,2009-01-01,2010-04-29,2011-06-28,1500000.0,27500000.0,0.0,24000000.0,0.0,0.0,483.0,425
Nimbus LLC,operating, Consulting ,|Startups|SaaS|Consulting|,USA,CO,Denver,20000.0,1.0,2013-05-01,2013-05-03,2013-05-03,20000.0,0.0,0.0,0.0,0.0,0.0,2.0,0
NimbusBase,operating, File Sharing ,|File Sharing|Cloud Data Services|Software|,Unknown,Non-US/Unknown,Unknown,275000.0,1.0,2012-01-01,2013-07-25,2013-07-25,275000.0,0.0,0.0,0.0,0.0,0.0,571.0,0
Nimbuz Inc,operating, Software ,|Software|,USA,CA,SF Bay Area,761787.0,1.0,2011-01-01,2013-08-02,2013-08-02,761787.0,0.0,0.0,0.0,0.0,0.0,944.0,0
Nines Photovoltaic,operating, Photography ,|Photography|,Unknown,Non-US/Unknown,Unknown,450310.0,1.0,2010-01-01,2013-09-12,2013-09-12,450310.0,0.0,0.0,0.0,0.0,0.0,1350.0,0
Ninja Blocks,operating, Home Automation ,|Home Automation|Developer APIs|Open Source|Internet of Things|,USA,MN,Duluth,2402000.0,3.0,2012-01-01,2013-07-01,2014-11-04,1000000.0,700000.0,0.0,0.0,0.0,0.0,547.0,491
Ninja Metrics,operating, Analytics ,|Analytics|,USA,MN,Minneapolis,2800000.0,1.0,2010-01-01,2013-11-11,2013-11-11,2800000.0,0.0,0.0,0.0,0.0,0.0,1410.0,0
Nintu Oy,operating, Mobile Social ,|Mobile|Mobile Social|Consumer Internet|,FIN,Non-US/Unknown,Helsinki,250000.0,1.0,2013-09-04,2013-11-13,2013-11-13,250000.0,0.0,0.0,0.0,0.0,0.0,70.0,0
Ninua,operating, Facebook Applications ,|Social Bookmarking|News|Facebook Applications|Curated Web|,USA,CA,SF Bay Area,750000.0,4.0,2007-05-01,2011-01-17,2012-12-12,750000.0,0.0,0.0,0.0,0.0,0.0,1357.0,695
Nirmidas Biotech,operating, Biotechnology ,|Biotechnology|,USA,CA,SF Bay Area,2000000.0,1.0,2013-01-01,2014-08-18,2014-08-18,2000000.0,0.0,0.0,0.0,0.0,0.0,594.0,0
Nitch,operating, Social Media ,|B2B|Social Media|,USA,MN,Minneapolis,72000.0,1.0,2011-03-01,2011-11-01,2011-11-01,72000.0,0.0,0.0,0.0,0.0,0.0,245.0,0
Nitrous,operating, Software ,|Software|Web Tools|iPad|Web Development|Cloud Computing|PaaS|Enterprise Software|,USA,CA,SF Bay Area,7650000.0,2.0,2012-07-01,2013-04-16,2014-03-18,1000000.0,6650000.0,0.0,6650000.0,0.0,0.0,289.0,336
Nobex Radio,operating, Mobile ,|Technology|Telecommunications|Mobile|,Unknown,Non-US/Unknown,Unknown,120000.0,1.0,2007-01-01,2008-10-21,2008-10-21,120000.0,0.0,0.0,0.0,0.0,0.0,659.0,0
Nobl,operating, Health Care ,|Health Care|Professional Services|Health and Wellness|Software|,USA,NE,Omaha,370000.0,3.0,2012-01-01,2013-01-01,2014-01-01,370000.0,0.0,0.0,0.0,0.0,0.0,366.0,365
Noble Life Sciences,operating, Biotechnology ,|Biotechnology|,USA,MD,"Washington, D.C.",335000.0,2.0,2010-01-01,2010-12-14,2013-01-01,335000.0,0.0,0.0,0.0,0.0,0.0,347.0,749
NOBOT,acquired, iPhone ,|Consumer Electronics|Mobile|Android|iPhone|Advertising|,JPN,Non-US/Unknown,Tokyo,1649028.0,3.0,2009-04-01,2009-10-09,2010-10-15,416179.0,1232849.0,0.0,1232849.0,0.0,0.0,191.0,371
Node1,operating, Software ,|Internet|Business Services|Developer APIs|Software|,NLD,Non-US/Unknown,Amsterdam,130743.0,1.0,2013-03-01,2013-03-01,2013-03-01,130743.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NodeFly,acquired, Networking ,|Networking|SaaS|Software|Curated Web|,CAN,BC,Vancouver,800000.0,1.0,2011-01-01,2012-11-07,2012-11-07,800000.0,0.0,0.0,0.0,0.0,0.0,676.0,0
Nodejitsu,operating, Web Hosting ,|Software|Networking|PaaS|Web Hosting|,USA,NY,New York City,2650000.0,3.0,2010-04-20,2011-04-01,2013-06-05,2650000.0,0.0,0.0,0.0,0.0,0.0,346.0,796
NodePing,operating, Messaging ,|Messaging|,USA,AZ,Phoenix,30000.0,1.0,2011-05-17,2011-06-01,2011-06-01,30000.0,0.0,0.0,0.0,0.0,0.0,15.0,0
NodePrime,operating, Enterprise Software ,|Machine Learning|Infrastructure|Cloud Management|Cloud Computing|Big Data|Analytics|Enterprise Software|,USA,CA,SF Bay Area,1500000.0,2.0,2013-02-04,2013-02-04,2014-05-31,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,481
NoiseFree,operating, Software ,|Software|,USA,CA,SF Bay Area,1400000.0,1.0,2005-01-01,2007-07-11,2007-07-11,1400000.0,0.0,0.0,0.0,0.0,0.0,921.0,0
Noitavonne,operating, Manufacturing ,|Manufacturing|Tablets|Wireless|Mobile|Startups|Hardware + Software|,USA,TX,Houston,250000.0,1.0,2009-11-23,2011-09-01,2011-09-01,250000.0,0.0,0.0,0.0,0.0,0.0,647.0,0
Noiz Analytics,operating, Social Media ,|Analytics|Social Media|Brand Marketing|Software|,CAN,QC,Montreal,163000.0,1.0,2007-01-01,2010-08-31,2010-08-31,163000.0,0.0,0.0,0.0,0.0,0.0,1338.0,0
Nokori,operating, Messaging ,|Messaging|Enterprises|Mobile|Enterprise Software|,USA,CA,SF Bay Area,200000.0,1.0,2013-01-01,2013-03-01,2013-03-01,200000.0,0.0,0.0,0.0,0.0,0.0,59.0,0
Nomadica Brainstorming,closed, Software ,|Web Tools|Incubators|Software|,ESP,Non-US/Unknown,Barcelona,600000.0,1.0,1990-03-01,2010-08-01,2010-08-01,600000.0,0.0,0.0,0.0,0.0,0.0,7458.0,0
Nomi,acquired, Retail ,|Analytics|Retail|Software|,USA,NY,New York City,13000000.0,2.0,2012-09-01,2013-02-11,2013-10-16,3000000.0,10000000.0,0.0,10000000.0,0.0,0.0,163.0,247
Nommunity,operating, Organic ,|Restaurants|Organic|Fitness|Health and Wellness|News|,USA,TX,Dallas,25000.0,1.0,2010-11-01,2012-04-02,2012-04-02,25000.0,0.0,0.0,0.0,0.0,0.0,518.0,0
Nonabox,operating, Online Shopping ,|Online Shopping|Babies|E-Commerce|,ESP,Non-US/Unknown,Madrid,1660243.0,3.0,2011-12-01,2011-12-01,2013-04-01,53968.0,0.0,644490.0,0.0,0.0,0.0,0.0,487
Nonpareil,operating, Networking ,|Services|Internet|Career Management|Consumer Goods|Celebrity|Networking|Sales and Marketing|Media|Social Media|,Unknown,Non-US/Unknown,Unknown,100000.0,1.0,2012-01-01,2012-06-01,2012-06-01,100000.0,0.0,0.0,0.0,0.0,0.0,152.0,0
Nonstop Games,acquired, Consumers ,|Consumers|Games|,SGP,Non-US/Unknown,Singapore,2900000.0,1.0,2011-01-01,2013-03-19,2013-03-19,2900000.0,0.0,0.0,0.0,0.0,0.0,808.0,0
Noom,operating, Software ,|Software|Startups|Apps|Mobile|Android|Technology|Exercise|Fitness|Health and Wellness|,USA,NY,New York City,12209261.0,6.0,2007-09-01,2011-06-01,2014-07-22,2596744.0,9612517.0,0.0,7000000.0,0.0,0.0,1369.0,1147
Noonswoon,operating, Social Network Media ,|Social Network Media|Consumers|Mobile|,THA,Non-US/Unknown,THA - Other,400000.0,1.0,2013-01-01,2013-09-25,2013-09-25,400000.0,0.0,0.0,0.0,0.0,0.0,267.0,0
NORCAT,operating, E-Commerce ,|E-Commerce|,CAN,ON,Toronto,1000000.0,1.0,1995-01-01,2013-11-13,2013-11-13,1000000.0,0.0,0.0,0.0,0.0,0.0,6891.0,0
NoRedInk,operating, Education ,|Education|,USA,CA,SF Bay Area,2000000.0,3.0,2012-01-01,2012-10-31,2013-08-21,2000000.0,0.0,0.0,0.0,0.0,0.0,304.0,294
Norse,operating, IT and Cybersecurity ,|IT and Cybersecurity|Network Security|Security|,USA,CA,SF Bay Area,13550000.0,3.0,2010-04-10,2011-09-01,2013-12-12,50000.0,10000000.0,0.0,10000000.0,0.0,0.0,509.0,833
NorthStar Systems International,acquired, Software ,|Software|,USA,CA,SF Bay Area,29500000.0,2.0,2001-01-01,2007-11-14,2007-11-15,11500000.0,18000000.0,0.0,0.0,0.0,0.0,2508.0,1
Noster Mobile,operating, Mobile Advertising ,|Social Media Marketing|Location Based Services|Mobile Advertising|,IRL,Non-US/Unknown,Dublin,2250000.0,2.0,2013-02-01,2014-04-01,2014-08-01,1500000.0,0.0,750000.0,0.0,0.0,0.0,424.0,122
Nosto,operating, Marketing Automation ,|Marketing Automation|Internet Marketing|Reviews and Recommendations|Personalization|SEO|E-Commerce|,FIN,Non-US/Unknown,Helsinki,8300000.0,2.0,2011-01-01,2013-04-17,2014-07-15,2800000.0,5500000.0,0.0,5500000.0,0.0,0.0,837.0,454
Not iT,operating, Gamification ,|Apps|Gamification|Games|,Unknown,Non-US/Unknown,Unknown,55000.0,1.0,2012-04-24,2012-05-24,2012-05-24,55000.0,0.0,0.0,0.0,0.0,0.0,30.0,0
Notable PDF,operating, K-12 Education ,|Internet|K-12 Education|Education|Medical|,NZL,Non-US/Unknown,Auckland,52103.0,2.0,2012-01-01,2013-01-24,2014-07-06,52103.0,0.0,0.0,0.0,0.0,0.0,389.0,528
NoteBowl,operating, All Students ,|Networking|Social Network Media|All Students|High Schools|Colleges|Universities|Education|,USA,AZ,Tucson,600000.0,1.0,2011-07-01,2014-10-21,2014-10-21,600000.0,0.0,0.0,0.0,0.0,0.0,1208.0,0
Notegraphy,operating, Social Media ,|Social Network Media|Internet|Mobile|Collectibles|Photo Editing|Social Media|,ESP,Non-US/Unknown,Barcelona,260000.0,1.0,2013-02-01,2013-07-01,2013-07-01,260000.0,0.0,0.0,0.0,0.0,0.0,150.0,0
NotesFirst,operating, Health and Wellness ,|Health and Wellness|,Unknown,Non-US/Unknown,Unknown,170118.0,2.0,2012-01-01,2012-02-26,2014-10-07,20118.0,0.0,0.0,0.0,0.0,0.0,56.0,954
NoteWagon,acquired, Curated Web ,|Finance|Universities|File Sharing|Curated Web|,CAN,ON,Toronto,250000.0,2.0,2010-09-10,2011-03-25,2011-03-25,250000.0,0.0,0.0,0.0,0.0,0.0,196.0,0
Notice Kiosk,operating, Communities ,|Business Services|Local|Communities|Search|,USA,NY,New York City,300000.0,1.0,2011-08-03,2012-12-15,2012-12-15,300000.0,0.0,0.0,0.0,0.0,0.0,500.0,0
Notifixious,operating, Subscription Businesses ,|Subscription Businesses|Email|Messaging|Public Relations|,USA,CA,SF Bay Area,200000.0,2.0,2008-06-01,2008-06-01,2009-11-20,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,537
NOTIK,operating, Auctions ,|Auctions|Charity|Nonprofits|,USA,NY,New York City,74500.0,1.0,2011-06-01,2012-01-01,2012-01-01,74500.0,0.0,0.0,0.0,0.0,0.0,214.0,0
Notion,operating, Sensors ,|Internet of Things|Home Automation|Sensors|,USA,CO,Denver,480000.0,1.0,2013-01-01,2014-08-01,2014-08-01,480000.0,0.0,0.0,0.0,0.0,0.0,577.0,0
nousDECOR,operating, Design ,|Design|Social Commerce|Social Media|,USA,CA,SF Bay Area,2100000.0,1.0,2012-01-01,2014-09-01,2014-09-01,2100000.0,0.0,0.0,0.0,0.0,0.0,974.0,0
"Nouvou, Inc.",operating, Mobile ,|File Sharing|Mobile|,USA,CA,SF Bay Area,250000.0,1.0,2012-01-01,2012-06-12,2012-06-12,250000.0,0.0,0.0,0.0,0.0,0.0,163.0,0
NovaTract Surgical,operating, Health Care ,|Health Care|,USA,CT,Hartford,3770000.0,5.0,2010-01-01,2010-11-10,2014-05-15,150000.0,3620000.0,0.0,2370000.0,0.0,0.0,313.0,1282
Novawise,operating, Analytics ,|Analytics|,CAN,NS,Halifax,48318.0,1.0,2010-01-01,2013-06-12,2013-06-12,48318.0,0.0,0.0,0.0,0.0,0.0,1258.0,0
Novelo,closed, Facebook Applications ,|Facebook Applications|Shopping|E-Commerce|,PER,Non-US/Unknown,PER - Other,80000.0,2.0,2011-04-20,2011-06-01,2011-06-20,80000.0,0.0,0.0,0.0,0.0,0.0,42.0,19
NoveltyLab,operating, Virtual Currency ,|Virtual Currency|E-Commerce|Finance|,USA,CA,SF Bay Area,25000.0,1.0,2012-07-09,2014-04-01,2014-04-01,25000.0,0.0,0.0,0.0,0.0,0.0,631.0,0
Novi,operating, News ,|News|,USA,CA,SF Bay Area,25000.0,1.0,2013-07-20,2013-07-20,2013-07-20,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Novira Therapeutics,operating, Biotechnology ,|Biotechnology|,USA,PA,Philadelphia,30495233.0,3.0,2009-01-01,2011-07-26,2014-02-11,2500000.0,27995233.0,0.0,27995233.0,0.0,0.0,936.0,931
Novita Therapeutics,operating, Biotechnology ,|Biotechnology|,USA,KS,Kansas City,4745000.0,5.0,2009-01-01,2009-11-17,2013-10-21,750000.0,3995000.0,0.0,0.0,0.0,0.0,320.0,1434
Novogy,operating, Clean Technology ,|Clean Technology|,USA,MA,Boston,5500000.0,3.0,2009-01-01,2011-03-01,2012-01-06,1500000.0,4000000.0,0.0,0.0,0.0,0.0,789.0,311
Now In Store,operating, Marketing Automation ,|Direct Marketing|Printing|Marketing Automation|SaaS|B2B|E-Commerce|,CAN,QC,Montreal,49342.0,1.0,2013-04-10,2013-04-15,2013-04-15,49342.0,0.0,0.0,0.0,0.0,0.0,5.0,0
NoWait,operating, Mobile ,|Mobile|,USA,PA,Pittsburgh,14080310.0,6.0,2010-01-01,2010-10-22,2014-05-20,75000.0,13965310.0,0.0,2000000.0,10000000.0,0.0,294.0,1306
Nowell Development,operating, Industrial ,|Logistics|Industrial|SaaS|Cloud Security|,USA,TX,Houston,64000.0,1.0,2003-01-10,2009-02-10,2009-02-10,64000.0,0.0,0.0,0.0,0.0,0.0,2223.0,0
Nowsupplier International,operating, Wholesale ,|Electronics|Retail|Wholesale|Gadget|Coupons|E-Commerce|,CHN,Non-US/Unknown,Shenzhen,500000.0,1.0,2008-08-08,2010-03-08,2010-03-08,500000.0,0.0,0.0,0.0,0.0,0.0,577.0,0
NOZA,acquired, Humanitarian ,|Humanitarian|Vertical Search|Nonprofits|,USA,CA,Santa Barbara,2800000.0,3.0,2006-01-01,2006-06-01,2008-03-01,900000.0,0.0,1900000.0,0.0,0.0,0.0,151.0,639
nprogress,closed, Mobile ,|Social Search|Transportation|Networking|Mobile|Social Media|,USA,CA,Los Angeles,1700000.0,1.0,2010-02-01,2011-12-01,2011-12-01,1700000.0,0.0,0.0,0.0,0.0,0.0,668.0,0
nPulse Technologies,acquired, Web Hosting ,|Web Hosting|,USA,VA,"Washington, D.C.",2947189.0,2.0,2011-01-01,2013-07-11,2013-10-25,1947189.0,1000000.0,0.0,0.0,1000000.0,0.0,922.0,106
nScaled,acquired, IaaS ,|Homeland Security|IaaS|Infrastructure|Cloud Computing|Enterprise Software|,USA,CA,SF Bay Area,8500000.0,2.0,2009-01-01,2012-02-21,2013-02-26,1500000.0,7000000.0,0.0,7000000.0,0.0,0.0,1146.0,371
NSFW Corporation,acquired, News ,|Publishing|E-Books|News|,USA,NV,Las Vegas,850000.0,3.0,2011-01-01,2011-10-05,2013-06-14,250000.0,0.0,0.0,0.0,0.0,0.0,277.0,618
NTB Media,operating, Games ,|Media|Games|Advertising|,USA,CA,Los Angeles,800000.0,1.0,2009-01-01,2009-01-01,2009-01-01,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nu-Tech Foods,operating, Hospitality ,|Hospitality|,USA,CA,Ontario - Inland Empire,1162500.0,2.0,2010-01-01,2011-07-27,2012-02-09,650000.0,512500.0,0.0,0.0,0.0,0.0,572.0,197
nubelo,operating, Enterprise Software ,|Enterprise Software|,ESP,Non-US/Unknown,Barcelona,1742701.0,4.0,2011-11-01,2011-11-01,2013-11-28,1742701.0,0.0,0.0,0.0,0.0,0.0,0.0,758
Nubity,operating, Cloud Computing ,|Cloud Computing|,ARG,Non-US/Unknown,Buenos Aires,37000.0,1.0,2012-01-01,2013-11-01,2013-11-01,37000.0,0.0,0.0,0.0,0.0,0.0,670.0,0
Nubleer Media,operating, Media ,|Media|Content|News|,MEX,Non-US/Unknown,Mexico City,500000.0,2.0,2014-01-01,2014-01-01,2014-04-01,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,90
Nubli,operating, Productivity Software ,|Productivity Software|Task Management|Software|,Unknown,Non-US/Unknown,Unknown,165000.0,1.0,2008-01-01,2009-01-01,2009-01-01,165000.0,0.0,0.0,0.0,0.0,0.0,366.0,0
Nuclea Biotechnologies,operating, Biotechnology ,|Biotechnology|,USA,MA,Bangor,27650420.0,9.0,2005-01-01,2009-06-10,2013-02-20,1066970.0,26158450.0,0.0,0.0,9800000.0,5000000.0,1621.0,1351
NuConomy,acquired, Analytics ,|Analytics|Advertising|,USA,CA,SF Bay Area,3300000.0,2.0,2006-01-01,2007-04-01,2008-02-01,300000.0,3000000.0,0.0,3000000.0,0.0,0.0,455.0,306
Nuday Games,operating, Games ,|Social Media|Music|Entertainment|Games|,SWE,Non-US/Unknown,Stockholm,2000000.0,1.0,2011-03-01,2013-12-01,2013-12-01,2000000.0,0.0,0.0,0.0,0.0,0.0,1006.0,0
NudgeRx,operating, Health and Wellness ,|Health and Wellness|,USA,WA,Seattle,679996.0,3.0,2009-11-09,2011-04-07,2012-10-05,215000.0,364996.0,0.0,0.0,0.0,0.0,514.0,547
NuFlick,operating, Games ,|Video Streaming|Video on Demand|Games|,MEX,Non-US/Unknown,Mexico City,70000.0,2.0,2011-06-10,2011-10-15,2013-03-25,70000.0,0.0,0.0,0.0,0.0,0.0,127.0,527
Nugg Solutions,operating, Software ,|Software|,Unknown,Non-US/Unknown,Unknown,350000.0,1.0,2013-01-01,2014-06-25,2014-06-25,350000.0,0.0,0.0,0.0,0.0,0.0,540.0,0
Nugg-it,closed, Manufacturing ,|Manufacturing|,USA,OH,Cincinnati,600000.0,1.0,2011-01-01,2013-03-01,2013-03-01,600000.0,0.0,0.0,0.0,0.0,0.0,790.0,0
Nuggeta,operating, Software ,|Software|,FRA,Non-US/Unknown,Franche-Comte,120000.0,1.0,2012-10-10,2012-10-10,2012-10-10,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NuHabitat,operating, SaaS ,|SaaS|Real Estate|,USA,TX,Houston,187500.0,2.0,2010-05-01,2013-10-15,2013-12-31,187500.0,0.0,0.0,0.0,0.0,0.0,1263.0,77
Nuhook,operating, Software ,|Software|,USA,TN,Knoxville,30860.0,1.0,2011-01-01,2011-03-24,2011-03-24,30860.0,0.0,0.0,0.0,0.0,0.0,82.0,0
Nuiku,operating, Software ,|Software|,USA,WA,Seattle,1600000.0,1.0,2013-01-01,2013-09-17,2013-09-17,1600000.0,0.0,0.0,0.0,0.0,0.0,259.0,0
Nuji,operating, Curated Web ,|Social Media|Shopping|Curated Web|,GBR,Non-US/Unknown,London,2000000.0,1.0,2011-11-15,2014-03-24,2014-03-24,2000000.0,0.0,0.0,0.0,0.0,0.0,860.0,0
Nulu,operating, English-Speaking ,|English-Speaking|Language Learning|Education|News|,USA,CA,San Diego,1750000.0,1.0,2011-06-01,2013-06-01,2013-06-01,1750000.0,0.0,0.0,0.0,0.0,0.0,731.0,0
NuMat Technologies,operating, Nanotechnology ,|Nanotechnology|,USA,IL,Chicago,2899199.0,2.0,2012-01-01,2013-06-12,2013-07-01,2000000.0,0.0,0.0,0.0,0.0,0.0,528.0,19
NUMBER26,operating, Personal Finance ,|Personal Finance|Banking|Hardware + Software|,DEU,Non-US/Unknown,Berlin,2032842.0,2.0,2013-02-01,2013-05-01,2014-06-19,2032842.0,0.0,0.0,0.0,0.0,0.0,89.0,414
numberFire,operating, Sports ,|Opinions|Big Data|Sports|,USA,NY,New York City,775000.0,2.0,2010-04-01,2011-06-06,2012-01-05,775000.0,0.0,0.0,0.0,0.0,0.0,431.0,213
NumberPicture,operating, Data Visualization ,|Data Visualization|Graphics|Software|,BGR,Non-US/Unknown,BGR - Other,97125.0,3.0,2010-01-01,2013-03-19,2013-09-01,64525.0,32600.0,0.0,0.0,0.0,0.0,1173.0,166
Numerex,operating, Mobile ,|Governments|Enterprises|Technology|Business Services|B2B|M2M|Mobile|,USA,GA,Atlanta,925000.0,1.0,1992-01-01,2013-02-15,2013-02-15,925000.0,0.0,0.0,0.0,0.0,0.0,7716.0,0
Numerous,operating, Social Media ,|Social Media|,USA,TX,Austin,700000.0,1.0,2013-01-01,2014-10-01,2014-10-01,700000.0,0.0,0.0,0.0,0.0,0.0,638.0,0
Numote,operating, Television ,|Television|Mobile|,USA,MA,Boston,40000.0,2.0,2010-01-01,2010-08-11,2011-01-28,40000.0,0.0,0.0,0.0,0.0,0.0,222.0,170
Nurep Inc.,operating, Mobile Health ,|Physicians|Medical Devices|Mobile Health|Mobile|,USA,CA,SF Bay Area,25000.0,1.0,2012-07-01,2013-01-14,2013-01-14,25000.0,0.0,0.0,0.0,0.0,0.0,197.0,0
Nurix,operating, Biotechnology ,|Biotechnology|,USA,CA,SF Bay Area,28200000.0,2.0,2009-01-01,2012-05-17,2014-05-22,3100000.0,25100000.0,0.0,0.0,25100000.0,0.0,1232.0,735
NurseBuddy,operating, Health Care ,|Health Care|,FIN,Non-US/Unknown,Turku,19615.0,2.0,2012-01-01,2013-02-26,2013-08-26,19615.0,0.0,0.0,0.0,0.0,0.0,422.0,181
NuScriptRx,operating, Health Care ,|Health Care|,USA,TN,Nashville,30479384.0,7.0,2007-01-01,2009-09-18,2013-06-11,10479384.0,13000000.0,0.0,0.0,0.0,13000000.0,991.0,1362
Nutek Orthopaedics,operating, Biotechnology ,|Biotechnology|,USA,FL,Jacksonville,3474998.0,2.0,2006-01-01,2009-04-30,2012-07-17,400000.0,3074998.0,0.0,0.0,0.0,0.0,1215.0,1174
Nutmeg Education,operating, Curated Web ,|Curated Web|,USA,FL,Palm Beaches,40000.0,1.0,2011-01-01,2013-06-03,2013-06-03,40000.0,0.0,0.0,0.0,0.0,0.0,884.0,0
Nutraspace,operating, Health and Wellness ,|Health and Wellness|,USA,TX,Dallas,600000.0,1.0,2011-01-01,2011-10-20,2011-10-20,600000.0,0.0,0.0,0.0,0.0,0.0,292.0,0
Nutritics,operating, Fitness ,|Fitness|Health and Wellness|Nutrition|Hospitality|,IRL,Non-US/Unknown,IRL - Other,19615.0,1.0,2011-01-01,2013-02-26,2013-02-26,19615.0,0.0,0.0,0.0,0.0,0.0,787.0,0
Nutshell,operating, Software ,|Software|,USA,MI,Detroit,750000.0,1.0,2010-11-15,2011-10-24,2011-10-24,750000.0,0.0,0.0,0.0,0.0,0.0,343.0,0
nvite,operating, Events ,|Design|Event Management|Events|,USA,DC,"Washington, D.C.",1000000.0,1.0,2013-06-01,2014-08-18,2014-08-18,1000000.0,0.0,0.0,0.0,0.0,0.0,443.0,0
nWay,operating, Games ,|FreetoPlay Gaming|Game|Video Games|Games|,USA,CA,SF Bay Area,9000000.0,2.0,2011-01-01,2012-10-01,2013-12-10,4000000.0,5000000.0,0.0,5000000.0,0.0,0.0,639.0,435
O2 Games,operating, Social Games ,|Social Games|Games|,BRA,Non-US/Unknown,Rio de Janeiro,750000.0,1.0,2005-12-05,2005-12-05,2005-12-05,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
o9 Solutions,operating, Enterprise Software ,|Enterprise Software|,USA,TX,Dallas,9000000.0,3.0,2009-01-01,2012-12-06,2014-10-14,3000000.0,6000000.0,0.0,0.0,0.0,0.0,1435.0,677
